"filename", "language", "JSON with Comments", "MS SQL", "JSON", "TypeScript", "TypeScript JSX", "Groovy", "Properties", "XML", "Batch", "comment", "blank", "total"
"c:\mobile system manager\textile-mobile\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 110, 0, 0, 0, 45, 22, 177
"c:\mobile system manager\textile-mobile\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\mobile system manager\textile-mobile\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 33
"c:\mobile system manager\textile-mobile\android\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\mobile system manager\textile-mobile\android\app\src\main\res\drawable\rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 8, 38
"c:\mobile system manager\textile-mobile\android\app\src\main\res\values-night\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\mobile system manager\textile-mobile\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\mobile system manager\textile-mobile\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\mobile system manager\textile-mobile\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 17
"c:\mobile system manager\textile-mobile\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 6, 42
"c:\mobile system manager\textile-mobile\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 11, 0, 0, 33, 13, 57
"c:\mobile system manager\textile-mobile\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\mobile system manager\textile-mobile\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 41, 32, 22, 95
"c:\mobile system manager\textile-mobile\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"c:\mobile system manager\textile-mobile\app.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\mobile system manager\textile-mobile\app\(app)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 230, 0, 0, 0, 0, 5, 20, 255
"c:\mobile system manager\textile-mobile\app\(app)\dispatch\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 14, 244
"c:\mobile system manager\textile-mobile\app\(app)\dispatch\order\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 200, 0, 0, 0, 0, 1, 25, 226
"c:\mobile system manager\textile-mobile\app\(app)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 1, 7, 61
"c:\mobile system manager\textile-mobile\app\(app)\inward\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 178, 0, 0, 0, 0, 1, 11, 190
"c:\mobile system manager\textile-mobile\app\(app)\manager\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 324, 0, 0, 0, 0, 13, 28, 365
"c:\mobile system manager\textile-mobile\app\(app)\manager\new-order.tsx", "TypeScript JSX", 0, 0, 0, 0, 202, 0, 0, 0, 0, 5, 24, 231
"c:\mobile system manager\textile-mobile\app\(app)\production\audit-result.tsx", "TypeScript JSX", 0, 0, 0, 0, 114, 0, 0, 0, 0, 1, 14, 129
"c:\mobile system manager\textile-mobile\app\(app)\production\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 17, 287
"c:\mobile system manager\textile-mobile\app\(app)\production\job\[code].tsx", "TypeScript JSX", 0, 0, 0, 0, 242, 0, 0, 0, 0, 7, 29, 278
"c:\mobile system manager\textile-mobile\app\(app)\production\job\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 142, 0, 0, 0, 0, 6, 19, 167
"c:\mobile system manager\textile-mobile\app\(app)\scanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 147, 0, 0, 0, 0, 7, 22, 176
"c:\mobile system manager\textile-mobile\app\(app)\shared\batch\[code].tsx", "TypeScript JSX", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 18, 171
"c:\mobile system manager\textile-mobile\app\(app)\shared\khata\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 1, 15, 123
"c:\mobile system manager\textile-mobile\app\(app)\shared\khata\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 114, 0, 0, 0, 0, 2, 13, 129
"c:\mobile system manager\textile-mobile\app\(app)\shared\messages.tsx", "TypeScript JSX", 0, 0, 0, 0, 504, 0, 0, 0, 0, 10, 53, 567
"c:\mobile system manager\textile-mobile\app\(app)\shared\qr-generator.tsx", "TypeScript JSX", 0, 0, 0, 0, 178, 0, 0, 0, 0, 1, 23, 202
"c:\mobile system manager\textile-mobile\app\(app)\shared\scan-history.tsx", "TypeScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 12, 111
"c:\mobile system manager\textile-mobile\app\(app)\shared\settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 225, 0, 0, 0, 0, 3, 25, 253
"c:\mobile system manager\textile-mobile\app\(auth)\pairing.tsx", "TypeScript JSX", 0, 0, 0, 0, 256, 0, 0, 0, 0, 5, 20, 281
"c:\mobile system manager\textile-mobile\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 0, 4, 13, 110
"c:\mobile system manager\textile-mobile\app\shared\khata\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 14, 155
"c:\mobile system manager\textile-mobile\app\shared\khata\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 12, 96
"c:\mobile system manager\textile-mobile\app\shared\messages.tsx", "TypeScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 0, 2, 17, 123
"c:\mobile system manager\textile-mobile\eas.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\mobile system manager\textile-mobile\package-lock.json", "JSON", 0, 0, 13231, 0, 0, 0, 0, 0, 0, 0, 1, 13232
"c:\mobile system manager\textile-mobile\package.json", "JSON", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\mobile system manager\textile-mobile\src\components\BatchLedgerView.tsx", "TypeScript JSX", 0, 0, 0, 0, 90, 0, 0, 0, 0, 1, 8, 99
"c:\mobile system manager\textile-mobile\src\components\PhotoEvidence.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 1, 8, 74
"c:\mobile system manager\textile-mobile\src\components\Scanner\IntelligenceRouter.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 3, 13, 67
"c:\mobile system manager\textile-mobile\src\constants\DesignSystem.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 8, 71
"c:\mobile system manager\textile-mobile\src\constants\Localization.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"c:\mobile system manager\textile-mobile\src\hooks\useBiometricShield.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 9, 47
"c:\mobile system manager\textile-mobile\src\hooks\useBiometrics.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 2, 8, 41
"c:\mobile system manager\textile-mobile\src\hooks\useHeartbeat.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 2, 10, 47
"c:\mobile system manager\textile-mobile\src\hooks\useInterval.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 5, 24
"c:\mobile system manager\textile-mobile\src\hooks\useMessenger.ts", "TypeScript", 0, 0, 0, 138, 0, 0, 0, 0, 0, 6, 21, 165
"c:\mobile system manager\textile-mobile\src\hooks\useScanner.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 11, 20, 118
"c:\mobile system manager\textile-mobile\src\hooks\useTacticalSync.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 7, 39
"c:\mobile system manager\textile-mobile\src\hooks\useTaskSubscriber.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 3, 8, 61
"c:\mobile system manager\textile-mobile\src\hooks\useTransaction.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 7, 13, 77
"c:\mobile system manager\textile-mobile\src\i18n\index.ts", "TypeScript", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 5, 142
"c:\mobile system manager\textile-mobile\src\lib\i18n.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 5, 47
