"filename", "language", "JSON", "Markdown", "TypeScript JSX", "TypeScript", "Python", "JavaScript", "comment", "blank", "total"
"c:\mobile system manager\PERFORMANCE_BASELINE.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\mobile system manager\textile-mobile\MOBILE_SMOKE_TEST.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 7, 46
"c:\mobile system manager\textile-mobile\PERFORMANCE_BASELINE.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\mobile system manager\textile-mobile\app\(app)\_layout.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\mobile system manager\textile-mobile\app\(app)\cctv\page.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\mobile system manager\textile-mobile\app\(app)\command.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\mobile system manager\textile-mobile\app\(app)\dashboard.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\mobile system manager\textile-mobile\app\(app)\dispatch\order\[id].tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\mobile system manager\textile-mobile\app\(app)\finance\page.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\mobile system manager\textile-mobile\app\(app)\index.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\mobile system manager\textile-mobile\app\(app)\inward\index.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\mobile system manager\textile-mobile\app\(app)\manager\index.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\mobile system manager\textile-mobile\app\(app)\messages.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, 0, 1, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\messages\[id].tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\mobile system manager\textile-mobile\app\(app)\messages\index.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\mobile system manager\textile-mobile\app\(app)\notifications\index.tsx", "TypeScript JSX", 0, 0, 287, 0, 0, 0, 0, 28, 315
