"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript JSX", "TypeScript", "pip requirements", "Python", "MS SQL", "JavaScript", "Properties", "C++", "Makefile", "Gradle", "XML", "Objective-C", "Batch", "Java", "comment", "blank", "total"
"c:\mobile system manager\PERFORMANCE_BASELINE.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\mobile system manager\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\mobile system manager\textile-mobile\MOBILE_SMOKE_TEST.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\mobile system manager\textile-mobile\PERFORMANCE_BASELINE.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\mobile system manager\textile-mobile\THIRD_PARTY_LICENSES.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\mobile system manager\textile-mobile\__tests__\DataPipeline.test.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 32
"c:\mobile system manager\textile-mobile\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 45, 22, 177
"c:\mobile system manager\textile-mobile\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\mobile system manager\textile-mobile\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 37
"c:\mobile system manager\textile-mobile\android\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\mobile system manager\textile-mobile\android\app\src\main\res\drawable\rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 8, 38
"c:\mobile system manager\textile-mobile\android\app\src\main\res\values-night\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\mobile system manager\textile-mobile\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\mobile system manager\textile-mobile\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\mobile system manager\textile-mobile\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 17
"c:\mobile system manager\textile-mobile\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 6, 42
"c:\mobile system manager\textile-mobile\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 33, 13, 57
"c:\mobile system manager\textile-mobile\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\mobile system manager\textile-mobile\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 32, 22, 95
"c:\mobile system manager\textile-mobile\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\mobile system manager\textile-mobile\app.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\mobile system manager\textile-mobile\app\(app)\Diagnostics.tsx", "TypeScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 131
"c:\mobile system manager\textile-mobile\app\(app)\ShiftAuditScreen.tsx", "TypeScript JSX", 0, 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 265
"c:\mobile system manager\textile-mobile\app\(app)\WorkerActionScreen.tsx", "TypeScript JSX", 0, 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 288
"c:\mobile system manager\textile-mobile\app\(app)\WorkerDashboard.tsx", "TypeScript JSX", 0, 0, 0, 364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 386
"c:\mobile system manager\textile-mobile\app\(app)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 81
"c:\mobile system manager\textile-mobile\app\(app)\cctv\[cameraId]\page.tsx", "TypeScript JSX", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 160
"c:\mobile system manager\textile-mobile\app\(app)\cctv\page.tsx", "TypeScript JSX", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 152
"c:\mobile system manager\textile-mobile\app\(app)\command.tsx", "TypeScript JSX", 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 328
"c:\mobile system manager\textile-mobile\app\(app)\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25, 295
"c:\mobile system manager\textile-mobile\app\(app)\dispatch\index.tsx", "TypeScript JSX", 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 244
"c:\mobile system manager\textile-mobile\app\(app)\dispatch\order\[id].tsx", "TypeScript JSX", 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 230
"c:\mobile system manager\textile-mobile\app\(app)\executive.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 48
"c:\mobile system manager\textile-mobile\app\(app)\finance\page.tsx", "TypeScript JSX", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 148
"c:\mobile system manager\textile-mobile\app\(app)\index.tsx", "TypeScript JSX", 0, 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 334
"c:\mobile system manager\textile-mobile\app\(app)\inward\index.tsx", "TypeScript JSX", 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 235
"c:\mobile system manager\textile-mobile\app\(app)\khata\new\index.tsx", "TypeScript JSX", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 198
