"filename", "language", "TypeScript", "Markdown", "JSON", "TypeScript JSX", "Gradle", "comment", "blank", "total"
"c:\mobile system manager\package-lock.json", "JSON", 0, 0, 60, 0, 0, 0, 1, 61
"c:\mobile system manager\package.json", "JSON", 0, 0, 5, 0, 0, 0, 1, 6
"c:\mobile system manager\textile-mobile\SECURITY_KNOWN_ISSUES.md", "Markdown", 0, 59, 0, 0, 0, 0, 29, 88
"c:\mobile system manager\textile-mobile\__tests__\DataPipeline.test.ts", "TypeScript", 1, 0, 0, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 45, -45, 0, 0
"c:\mobile system manager\textile-mobile\android\build.gradle", "Gradle", 0, 0, 0, 0, 3, -3, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\Diagnostics.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, -3, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\ShiftAuditScreen.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, -4, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\WorkerActionScreen.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\dispatch\order\[id].tsx", "TypeScript JSX", 0, 0, 0, 1, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\executive.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\inward\index.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, -4, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\khata\new\index.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, -2, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\manager\index.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, -5, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\manager\new-order.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, -4, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\messages.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\messages\[id].tsx", "TypeScript JSX", 0, 0, 0, 1, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\production\job\[code].tsx", "TypeScript JSX", 0, 0, 0, 5, 0, -5, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\production\job\[id].tsx", "TypeScript JSX", 0, 0, 0, 3, 0, -3, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\scan\index.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, -7, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\scanner.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, -3, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\shared\khata\[id].tsx", "TypeScript JSX", 0, 0, 0, 1, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\shared\khata\index.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, -2, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\shared\messages.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, -5, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\shared\qr-generator.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\shared\settings.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, -3, 0, 0
"c:\mobile system manager\textile-mobile\app\(app)\shared\tasks.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, -5, 0, 0
"c:\mobile system manager\textile-mobile\app\(mesh)\messenger.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, -14, 0, 0
"c:\mobile system manager\textile-mobile\app\(mesh)\pair.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, -8, 0, 0
"c:\mobile system manager\textile-mobile\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, -14, 1, -3
"c:\mobile system manager\textile-mobile\app\shared\messages.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, -2, 0, 0
"c:\mobile system manager\textile-mobile\dist\metadata.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\mobile system manager\textile-mobile\package-lock.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 12
"c:\mobile system manager\textile-mobile\package.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"c:\mobile system manager\textile-mobile\src\components\BatchLedgerView.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\CustomNumpad.tsx", "TypeScript JSX", 0, 0, 0, -2, 0, 2, 0, 0
"c:\mobile system manager\textile-mobile\src\components\EmergencyButton.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 2, 0, 1
"c:\mobile system manager\textile-mobile\src\components\HandshakeScreen.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 15
"c:\mobile system manager\textile-mobile\src\components\IndustrialErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\IndustrialSyncIndicator.tsx", "TypeScript JSX", 0, 0, 0, -5, 0, 5, 0, 0
"c:\mobile system manager\textile-mobile\src\components\LockedOverlay.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 0, 0, 3
"c:\mobile system manager\textile-mobile\src\components\PhotoEvidence.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\QuickActionButton.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\Scanner\IntelligenceRouter.ts", "TypeScript", -3, 0, 0, 0, 0, 3, 0, 0
"c:\mobile system manager\textile-mobile\src\components\TierGate.tsx", "TypeScript JSX", 0, 0, 0, -2, 0, 2, 0, 0
"c:\mobile system manager\textile-mobile\src\components\alerts\RedAlertOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 3
"c:\mobile system manager\textile-mobile\src\components\charts\TelemetryDashboard.tsx", "TypeScript JSX", 0, 0, 0, -3, 0, 3, 0, 0
"c:\mobile system manager\textile-mobile\src\components\dashboards\EliteDashboard.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 0, 0, 3
"c:\mobile system manager\textile-mobile\src\components\gis\PathFinderView.tsx", "TypeScript JSX", 0, 0, 0, -2, 0, 2, 0, 0
"c:\mobile system manager\textile-mobile\src\components\tier\DeviceCounterCard.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, 0, 0, 1
"c:\mobile system manager\textile-mobile\src\components\tier\FeatureLock.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 0, 0, 3
"c:\mobile system manager\textile-mobile\src\components\tier\TierBanner.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 1, 0, 0
"c:\mobile system manager\textile-mobile\src\components\tier\UpgradeBottomSheet.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 0, 6
